,name,time,field,value
0,Anglogold - Tropicana,2024-01-11 23:00:00,T,31.7999992371
0,Anglogold - Tropicana,2024-01-11 23:00:00,Wind_Dir,80.4000015259
0,Anglogold - Tropicana,2024-01-11 23:00:00,Wind_Mag,8.10000038147
0,Anglogold - Tropicana,2024-01-12 00:00:00,SigWaveHgt,0.0
0,Anglogold - Tropicana,2024-01-12 00:00:00,T,34.2999992371
0,Anglogold - Tropicana,2024-01-12 00:00:00,Wind_Dir,71.0999984741
0,Anglogold - Tropicana,2024-01-12 00:00:00,Wind_Mag,8.39999961853
0,Anglogold - Tropicana,2024-01-12 01:00:00,T,36.0
0,Anglogold - Tropicana,2024-01-12 01:00:00,Wind_Dir,63.2000007629
0,Anglogold - Tropicana,2024-01-12 01:00:00,Wind_Mag,7.69999980927
0,Anglogold - Tropicana,2024-01-12 02:00:00,T,37.7999992371
0,Anglogold - Tropicana,2024-01-12 02:00:00,Wind_Dir,57.7000007629
0,Anglogold - Tropicana,2024-01-12 02:00:00,Wind_Mag,6.19999980927
0,Anglogold - Tropicana,2024-01-12 03:00:00,SigWaveHgt,0.0
0,Anglogold - Tropicana,2024-01-12 03:00:00,T,39.7999992371
0,Anglogold - Tropicana,2024-01-12 03:00:00,Wind_Dir,54.0999984741
0,Anglogold - Tropicana,2024-01-12 03:00:00,Wind_Mag,4.09999990463
0,Anglogold - Tropicana,2024-01-12 04:00:00,T,40.7999992371
0,Anglogold - Tropicana,2024-01-12 04:00:00,Wind_Dir,76.4000015259
0,Anglogold - Tropicana,2024-01-12 04:00:00,Wind_Mag,1.79999995232
0,Anglogold - Tropicana,2024-01-12 05:00:00,T,41.4000015259
0,Anglogold - Tropicana,2024-01-12 05:00:00,Wind_Dir,234.899993896
0,Anglogold - Tropicana,2024-01-12 05:00:00,Wind_Mag,1.20000004768
0,Anglogold - Tropicana,2024-01-12 06:00:00,SigWaveHgt,0.0
0,Anglogold - Tropicana,2024-01-12 06:00:00,T,41.7999992371
0,Anglogold - Tropicana,2024-01-12 06:00:00,Wind_Dir,224.800003052
0,Anglogold - Tropicana,2024-01-12 06:00:00,Wind_Mag,1.79999995232
0,Anglogold - Tropicana,2024-01-12 07:00:00,T,41.2000007629
0,Anglogold - Tropicana,2024-01-12 07:00:00,Wind_Dir,181.300003052
0,Anglogold - Tropicana,2024-01-12 07:00:00,Wind_Mag,3.09999990463
0,Anglogold - Tropicana,2024-01-12 08:00:00,T,40.4000015259
0,Anglogold - Tropicana,2024-01-12 08:00:00,Wind_Dir,160.300003052
0,Anglogold - Tropicana,2024-01-12 08:00:00,Wind_Mag,4.90000009537
0,Anglogold - Tropicana,2024-01-12 09:00:00,SigWaveHgt,0.0
0,Anglogold - Tropicana,2024-01-12 09:00:00,T,39.0999984741
0,Anglogold - Tropicana,2024-01-12 09:00:00,Wind_Dir,145.600006104
0,Anglogold - Tropicana,2024-01-12 09:00:00,Wind_Mag,5.59999990463
0,Anglogold - Tropicana,2024-01-12 10:00:00,T,37.7999992371
0,Anglogold - Tropicana,2024-01-12 10:00:00,Wind_Dir,153.100006104
0,Anglogold - Tropicana,2024-01-12 10:00:00,Wind_Mag,9.10000038147
0,Anglogold - Tropicana,2024-01-12 11:00:00,T,35.7999992371
0,Anglogold - Tropicana,2024-01-12 11:00:00,Wind_Dir,157.399993896
0,Anglogold - Tropicana,2024-01-12 11:00:00,Wind_Mag,22.2999992371
0,Anglogold - Tropicana,2024-01-12 12:00:00,SigWaveHgt,0.0
0,Anglogold - Tropicana,2024-01-12 12:00:00,T,34.2999992371
0,Anglogold - Tropicana,2024-01-12 12:00:00,Wind_Dir,155.5
0,Anglogold - Tropicana,2024-01-12 12:00:00,Wind_Mag,23.1000003815
0,Anglogold - Tropicana,2024-01-12 13:00:00,T,33.4000015259
0,Anglogold - Tropicana,2024-01-12 13:00:00,Wind_Dir,153.0
0,Anglogold - Tropicana,2024-01-12 13:00:00,Wind_Mag,21.1000003815
0,Anglogold - Tropicana,2024-01-12 14:00:00,T,32.4000015259
0,Anglogold - Tropicana,2024-01-12 14:00:00,Wind_Dir,150.100006104
0,Anglogold - Tropicana,2024-01-12 14:00:00,Wind_Mag,19.2999992371
0,Anglogold - Tropicana,2024-01-12 15:00:00,SigWaveHgt,0.0
0,Anglogold - Tropicana,2024-01-12 15:00:00,T,31.3999996185
0,Anglogold - Tropicana,2024-01-12 15:00:00,Wind_Dir,147.600006104
0,Anglogold - Tropicana,2024-01-12 15:00:00,Wind_Mag,17.5
0,Anglogold - Tropicana,2024-01-12 16:00:00,T,30.5
0,Anglogold - Tropicana,2024-01-12 16:00:00,Wind_Dir,147.199996948
0,Anglogold - Tropicana,2024-01-12 16:00:00,Wind_Mag,15.8000001907
0,Anglogold - Tropicana,2024-01-12 17:00:00,T,29.8999996185
0,Anglogold - Tropicana,2024-01-12 17:00:00,Wind_Dir,142.5
0,Anglogold - Tropicana,2024-01-12 17:00:00,Wind_Mag,14.5
0,Anglogold - Tropicana,2024-01-12 18:00:00,SigWaveHgt,0.0
0,Anglogold - Tropicana,2024-01-12 18:00:00,T,29.3999996185
0,Anglogold - Tropicana,2024-01-12 18:00:00,Wind_Dir,135.600006104
0,Anglogold - Tropicana,2024-01-12 18:00:00,Wind_Mag,12.3999996185
0,Anglogold - Tropicana,2024-01-12 19:00:00,T,28.7999992371
0,Anglogold - Tropicana,2024-01-12 19:00:00,Wind_Dir,134.0
0,Anglogold - Tropicana,2024-01-12 19:00:00,Wind_Mag,11.3999996185
0,Anglogold - Tropicana,2024-01-12 20:00:00,T,28.2000007629
0,Anglogold - Tropicana,2024-01-12 20:00:00,Wind_Dir,134.600006104
0,Anglogold - Tropicana,2024-01-12 20:00:00,Wind_Mag,10.6999998093
0,Anglogold - Tropicana,2024-01-12 21:00:00,SigWaveHgt,0.0
0,Anglogold - Tropicana,2024-01-12 21:00:00,T,27.7999992371
0,Anglogold - Tropicana,2024-01-12 21:00:00,Wind_Dir,138.0
0,Anglogold - Tropicana,2024-01-12 21:00:00,Wind_Mag,11.1000003815
0,Anglogold - Tropicana,2024-01-12 22:00:00,T,29.1000003815
0,Anglogold - Tropicana,2024-01-12 22:00:00,Wind_Dir,142.100006104
0,Anglogold - Tropicana,2024-01-12 22:00:00,Wind_Mag,11.5
0,Anglogold - Tropicana,2024-01-12 23:00:00,T,31.1000003815
0,Anglogold - Tropicana,2024-01-12 23:00:00,Wind_Dir,140.100006104
0,Anglogold - Tropicana,2024-01-12 23:00:00,Wind_Mag,12.1000003815
0,Anglogold - Tropicana,2024-01-13 00:00:00,SigWaveHgt,0.0
0,Anglogold - Tropicana,2024-01-13 00:00:00,T,32.9000015259
0,Anglogold - Tropicana,2024-01-13 00:00:00,Wind_Dir,138.600006104
0,Anglogold - Tropicana,2024-01-13 00:00:00,Wind_Mag,11.8000001907
0,Anglogold - Tropicana,2024-01-13 01:00:00,T,34.7000007629
0,Anglogold - Tropicana,2024-01-13 01:00:00,Wind_Dir,136.199996948
0,Anglogold - Tropicana,2024-01-13 01:00:00,Wind_Mag,11.3999996185
0,Anglogold - Tropicana,2024-01-13 02:00:00,T,36.4000015259
0,Anglogold - Tropicana,2024-01-13 02:00:00,Wind_Dir,134.399993896
0,Anglogold - Tropicana,2024-01-13 02:00:00,Wind_Mag,11.1999998093
0,Anglogold - Tropicana,2024-01-13 03:00:00,SigWaveHgt,0.0
0,Anglogold - Tropicana,2024-01-13 03:00:00,T,38.7000007629
0,Anglogold - Tropicana,2024-01-13 03:00:00,Wind_Dir,133.5
0,Anglogold - Tropicana,2024-01-13 03:00:00,Wind_Mag,10.8000001907
0,Anglogold - Tropicana,2024-01-13 04:00:00,T,40.0999984741
0,Anglogold - Tropicana,2024-01-13 04:00:00,Wind_Dir,142.300003052
0,Anglogold - Tropicana,2024-01-13 04:00:00,Wind_Mag,11.6000003815
0,Anglogold - Tropicana,2024-01-13 05:00:00,T,40.7000007629
0,Anglogold - Tropicana,2024-01-13 05:00:00,Wind_Dir,148.899993896
0,Anglogold - Tropicana,2024-01-13 05:00:00,Wind_Mag,12.8000001907
0,Anglogold - Tropicana,2024-01-13 06:00:00,SigWaveHgt,0.0
0,Anglogold - Tropicana,2024-01-13 06:00:00,T,41.2000007629
0,Anglogold - Tropicana,2024-01-13 06:00:00,Wind_Dir,154.100006104
0,Anglogold - Tropicana,2024-01-13 06:00:00,Wind_Mag,14.5
0,Anglogold - Tropicana,2024-01-13 07:00:00,T,41.0
0,Anglogold - Tropicana,2024-01-13 07:00:00,Wind_Dir,152.100006104
0,Anglogold - Tropicana,2024-01-13 07:00:00,Wind_Mag,16.3999996185
0,Anglogold - Tropicana,2024-01-13 08:00:00,T,40.7000007629
